city,item_type,name,detail,distance_from_hotel,transport,source,label,as_of,note
盐城,hotel,盐城天沐温泉度假酒店(荷兰花海店),真温泉·套餐含双人温泉+荷兰花海门票,紧邻荷兰花海(步行可达),步行,https://piao.qunar.com/daytrip/detail_3252389.html,[guide-observation+estimate],2026,国庆估¥650-1100/晚
盐城,attraction,荷兰花海(大丰),3000亩百合花海·国庆夜秀/无人机/花车巡游,步行可达(酒店),步行+线上预约,https://m.dahepiao.com/news/20250926532007.html,[guide-observation],2025-09-26,成人¥50·国庆人流高
盐城,attraction,中华麋鹿园(5A),世界最大麋鹿保护区,约40min车程,酒店包车/专车,https://www.toutiao.com/w/1864177445207179/,[guide-observation],2026,门票约¥50
盐城,attraction,大纵湖,湖荡湿地·秋蟹季,约1h,包车/网约车,https://www.jianshu.com/p/93a397bf5d5c,[guide-observation],2026,-
盐城,route,酒店→荷兰花海,步行即达(紧邻)约5分钟,0,步行,,[estimate],2026,-
盐城,route,酒店→中华麋鹿园,约40分钟,40min,酒店包车/专车,,[estimate],2026,-
腾冲,hotel,和顺柏联酒店(BOLIAN),顶级园林温泉·含和顺古镇门票,位于和顺古镇,机场免费接送机,https://www.wingontravel.com/hotel/detail?HotelID=1247645,[guide-observation+estimate],2026,估¥1000-2500/晚
腾冲,attraction,和顺古镇,600年侨乡·和顺图书馆,酒店所在(含门票),步行/园区,https://tengchong.gov.cn/info/1014/5746043.htm,[official-data],2025-10-13,门票¥55/3天
腾冲,attraction,热海(5A),大滚锅煮蛋·天然硫磺泉,约30-40min,包车¥300-500/天,https://tengchong.gov.cn/info/1014/5746043.htm,[official-data],2025-10-13,门票¥50·温泉套票¥268
腾冲,attraction,火山地质公园,大空山/小空山·热气球,约30min,包车,,[guide-observation],2026-07,热气球仅上午/看天气
腾冲,route,柏联→热海,约30-40分钟,30-40min,包车/打车,,[estimate],2026,-
清迈,hotel,清迈老城/湄平河畔特色酒店(如137 Pillars House类),老城C位或河畔设计酒店·有特色,老城/河畔,步行/双条车,https://tournews.tw/chiang-mai-chiang-rai-accommodation-guide/,[guide-observation+estimate],2026,估¥800-2000/晚·以OTA实时为准
清迈,attraction,双龙寺(素贴山),俯瞰清迈全景·金顶寺庙,约30-40min,包车/双条车,https://tw.trip.com/moments/detail/chiang-mai-209-142228948/,[guide-observation],2026,人流中-高
清迈,attraction,古城/塔佩门/契迪龙寺,老城核心·寺庙群,约10-15min,短途车/步行,,[guide-observation],2026,-
清迈,route,酒店→双龙寺,约30-40分钟,30-40min,包车/双条车,,[estimate],2026,-
清迈,visa,泰国免签30天/次,持护照直接入境;2026-09-15起取消单边60天,双边30天保留,无需,免签入境,https://th.china-embassy.gov.cn/sgxw/202609/t20260902_12014753.html,[official-data],2026-09-02,¥0
槟城,hotel,乔治镇老宅/姓氏桥附近特色酒店,世遗区特色老宅/设计酒店,乔治镇,步行/Grab,,[guide-observation+estimate],2026,估¥500-1200/晚
槟城,visa,马来西亚免签30天/次,护照直接入境;2026-02起90天调回30天,无需,免签入境,https://www.fragomen.com/insights/malaysia-visa-exemption-implemented-for-chinese-and-indian-nationals.html,[report-estimate],2026-02-17,¥0
上海,route,上海→盐城 高铁,上海虹桥/上海→盐城约2h·二等座¥133-172,直达,高铁,https://trains.ctrip.com/trainbooking/shanghai-yancheng2/gaotie,[report-estimate],2026-09-09,票价固定
上海,route,上海→腾冲 飞机,经昆明转·约5.5h·¥1200-1800,中转,飞机,https://howlongfly.hk/flight-time/sha/tcz/,[estimate],2026,溢价高
上海,route,上海→清迈 飞机,直飞约4.5h·¥1200-1700,直飞,飞机,https://tw.trip.com/flights/city-sha-airport-cnx/,[estimate],2026,免签30天
