city,country,region,type,base_flow_9_20,peak_flow_10_1_7,crowd_level_C,fame_F,stability_S,marketing_risk_M,total_T,recommended,source,label,as_of,note
盐城,中国,江苏,domestic,,燕舞旗下A级景区大增但低基数,4,3,4,4,15,推荐,https://www.0515yc.cn/ycweb/2025/1354822.html,[official-data],2025-10-10,湿地/荷兰花海/丹顶鹤;~1.5-2h高铁;零营销炒作
松阳·丽水,中国,浙江,domestic,,村庄级小体量,4,3,4,4,15,备选,https://zjnews.zjol.com.cn/zjnews/202510/t20251002_31266332.shtml,[news],2025-10-02,设计民宿集群/茶乡;~3h可达
腾冲,中国,云南,domestic,,国庆97.48万(+27.98%),3,4,4,4,15,推荐(温泉升级),https://tengchong.gov.cn/info/1014/5746043.htm,[official-data],2025-10-13,火山/热海/和顺;真温泉;有机增长
建水,中国,云南,domestic,,低调古城,4,3,4,4,15,备选,https://tw.trip.com/moments/detail/jianshui-2151-147363994/,[report-estimate],2025,古城/私汤/曲江温泉;较远
威海,中国,山东,domestic,,A级37.74万(-21.69%)入住率~52%,4,3,4,4,15,备选,http://www.huancui.gov.cn/art/2025/10/9/art_64374_5845966.html,[official-data],2025-10-09,海滨/刘公岛;5-6h中转
大同,中国,山西,domestic,,云冈36万+单日峰值7万,2,4,3,3,12,排除-人流偏高,https://www.sxfzb.com/index.php/index/article/show/id/144888/cid/384/lanmu/384.html,[official-data],2025-10-10,云冈石窟;8h45m高铁;需提前订
崇左,中国,广西,domestic,,2025受台风扭曲,3,3,2,3,11,排除-不确定性,http://www.chongzuo.gov.cn/dtxx/zwdt/t26038102.shtml,[official-data],2025-10-11,德天/明仕;台风数据不代表常态
湖州安吉/莫干山,中国,浙江,domestic,,营销型民宿/竹海,3,3,3,2,11,排除-营销风险,,[guide-observation],2026,莫干山强势营销;非静谧
北京,中国,北京,domestic,,航旅纵横Top1/携程Top1,1,5,2,2,10,排除-高人流,https://huacheng.gz-cmc.com/pages/2026/08/14/70f03638755d41c1a5a2288d145b3f32.html,[report-estimate],2026-08-14,首都热门第一;故宫/国博
上海,中国,上海,domestic,,航旅Top2/携程Top2,1,5,2,2,10,排除-高人流,https://huacheng.gz-cmc.com/pages/2026/08/14/70f03638755d41c1a5a2288d145b3f32.html,[report-estimate],2026-08-14,出发地;也是人流量大热门;外滩/迪士尼日均7.8万
成都,中国,四川,domestic,,航旅Top4/租租车自驾Top1,1,5,2,2,10,排除-高人流,https://huacheng.gz-cmc.com/pages/2026/08/14/70f03638755d41c1a5a2288d145b3f32.html,[report-estimate],2026-08-14,高人流
南京,中国,江苏,domestic,,去哪儿酒店Top1,2,4,3,2,11,排除-高人流,,[report-estimate],2026-08,演唱会拉动
西安,中国,陕西,domestic,,航旅Top9,2,5,2,2,11,排除-高人流,,[report-estimate],2026-08,高人流
杭州,中国,浙江,domestic,,航旅Top10/携程Top9,2,5,2,2,11,排除-高人流,,[report-estimate],2026-08,西湖/高人流
首尔,韩国,首尔,international,,极高(#2热门,Airbnb),2,4,2,2,10,国际-热门拥挤,https://news.airbnb.com/zh/airbnb爱彼迎发布《2026年超级黄金周出境游趋势报告》,[report-estimate],2026-08-24,需签证C-3-9+K-ETA
东京/大阪/京都,日本,关东/关西,international,,高但趋缓(中日摩擦),2,5,3,3,13,国际-中高人流,https://news.airbnb.com/zh/, [report-estimate],2026-08-24,需签证(代理)~5工作日
曼谷/普吉,泰国,泰国,international,,极高(#7热门),2,4,2,2,10,国际-热门拥挤,,[report-estimate],2026-08-24,免签30天
新加坡,新加坡,新加坡,international,,高(#9热门),2,4,2,2,10,国际-热门拥挤,,[report-estimate],2026-08-24,免签30天
巴厘岛,印尼,印尼,international,,高(#9东南亚Top),2,3,2,2,9,国际-热门拥挤,,[report-estimate],2026-08-24,e-VOA落地签US$33
清迈,泰国,泰国,international,,中等(平季),4,3,4,4,15,国际-相对清净,,[report-estimate],2026-08-24,免签30天;东南亚较静
芽庄,越南,越南,international,,中等偏上(越南+30%),3,3,3,3,12,国际-可选,,[report-estimate],2026-08-24,90天电子签3-5工作日
槟城,马来西亚,马来西亚,international,,中等(吉隆坡热/槟城静),4,3,4,4,15,国际-相对清净,,[report-estimate],2026-08-24,免签30天
札幌,日本,北海道,international,,低-中(秋季平季),4,3,4,3,14,国际-较静,,[report-estimate],2026-08-24,需签证;秋色
乌兰巴托,蒙古,蒙古,international,,极低,5,2,4,4,15,国际-小众,https://www.travelarbitrage.net/blog/mongolia-visa-official-guide-2026,[report-estimate],2026-08-30,K2电子签~3工作日
阿拉木图,哈萨克斯坦,哈萨克斯坦,international,,极低,5,2,4,4,15,国际-小众,,[report-estimate],2026-08-30,免签30天
